¥éËCatalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),GenBank Numbers,Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNM 75346,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,"Muzik, K.",9/14/88,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Onna Island",26.5,127.848,,,,,,,49.00,,,,,,Original Number : OK0735KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3e2bece5d-7dba-4481-b0b8-80a863ef9a1b
USNM 75348,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),RFB 1483,"Bolland, R. F.",6/29/89,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Onna Island",26.5,127.848,,,,,,,40.00,,,,BOLLAND/RFB 1483,,Original Number : OK0737KM,350091,,,,,,,,5/11/20 17:32,http://n2t.net/ark:/65665/342a6067e-4604-4ba0-96be-8f69ced45f1d
USNM 75357,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,"Muzik, K.",9/17/88,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Iejima",26.7233,127.83,,,,,,,24.00,,,,,,Original Number : OK0752KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3c4d22514-f2c8-4161-8acc-0b9d873b6820
USNM 75358,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,"Muzik, K.",9/17/88,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Iejima",26.7233,127.833,,,,,,,25.00,,,,,,Original Number : OK0755KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3698e087c-fce2-4360-aa61-caac99cc9fc8
USNM 75359,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,"Muzik, K.",9/17/88,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Iejima",26.7233,127.83,,,,,,,22.00,,,,,,Original Number : OK0762KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/30ffb3a02-1a3c-43f9-a5ae-c78c62122683
USNM 75360,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,"Muzik, K.",9/20/88,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Iejima",26.7233,127.83,,,,,,,20.00,,,,,,Original Number : OK0769KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3d879e174-f039-422e-8444-27930c234e88
USNM 75361,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,"Muzik, K.",9/23/88,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Iejima, Waji Hama",26.73,127.758,,,,,,,24.60,,,,,,Original Number : OK0772KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3fd39e6ff-8d8d-4bc7-a1ac-fea1a8df5e52
USNM 75383,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,"Muzik, K.",9/23/88,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Iejima, Waji Hama",26.73,127.758,,,,,,,27.00,,,,,,Original Number : OK0773KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3c7c6af44-a27f-4276-9a15-a3c185873992
USNM 75384,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,"Muzik, K.",9/30/88,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Bise",26.7083,127.875,,,,,,,33.00,,,,,,Original Number : OK0786KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/332f819b3-f090-46d3-93d2-90d49b812a58
USNM 75385,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,"Muzik, K.",9/21/88,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Iejima",26.7233,127.83,,,,,,,21.00,,,,,,Original Number : OK0780KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3e042d64c-90a6-4c5f-8e13-4dab1a81a58c
USNM 75386,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,"Muzik, K.",9/27/88,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Iejima",26.7233,127.83,,,,,,,25.00,,,,,,Original Number : OK0781KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/394c0292a-0b8a-4e9b-8797-55bf94b93edc
USNM 75412,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),RFB 1430,"Bolland, R. F.",4/10/89,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.5,127.848,,,,,,,61.00,,,,BOLLAND/RFB 1430,,Original Number : OK0813RB,350091,,,,,,,,5/11/20 17:32,http://n2t.net/ark:/65665/3716a7908-ce49-40c2-8e05-eb4b8c4a240a
USNM 75413,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),RFB 1471,"Bolland, R. F.",6/2/89,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Seragaki Beach, 1.3 Km ENE of Maeki-Zaki",26.5067,127.877,,,,,,,50.00,,,,BOLLAND/RFB 1471,,Original Number : OK0818RB,350091,,,,,,,,5/11/20 17:32,http://n2t.net/ark:/65665/380972fc7-299b-4336-b14f-0c84be8d9f57
USNM 75423,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),RFB 1458,"Bolland, R. F.",5/10/89,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.5,127.848,,,,,,,64.00,,,,BOLLAND/RFB 1458,,Original Number : OK0825RB,350091,,,,,,,,5/11/20 17:32,http://n2t.net/ark:/65665/3e8eae6a1-3a06-45ce-a68b-e003277b1e08
USNM 75424,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),RFB 1474,"Bolland, R. F.",6/21/89,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Seragaki Beach, 1.3 Km ENE of Maeki-Zaki",26.5067,127.877,,,,,,,49.00,,,,BOLLAND/RFB 1474,,Original Number : OK0834RB,350091,,,,,,,,5/11/20 17:32,http://n2t.net/ark:/65665/38f33950d-a771-415f-96f5-61292c07425a
USNM 75484,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),RFB 1479,"Bolland, R. F.",6/25/89,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Seragaki Beach, 1.3 Km ENE of Maeki-Zaki",26.5067,127.877,,,,,,,46.00,,,,BOLLAND/RFB 1479,,Original Number : OK0898RB,350091,,,,,,,,5/11/20 17:32,http://n2t.net/ark:/65665/3c07c445f-6400-4bf4-a659-fabe050dde6d
USNM 75521,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,"Muzik, K.",7/15/89,,North Pacific Ocean,,,Japan,,,,"Iriomote, Naka No Uganjima",24.19,123.57,,,,,,,30.00,,,,,,Original Number : OK0947KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3ca4de410-79fd-4bd3-b21d-faffe1b35e63
USNM 75522,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,"Muzik, K.",7/15/89,,North Pacific Ocean,,,Japan,,,,"Iriomote, Naka No Uganjima",24.19,123.57,,,,,,,30.00,,,,,,Original Number : OK0948KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/328081cf0-313c-4d74-b28e-085d55ef3b6a
USNM 75523,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,"Muzik, K.",7/15/89,,North Pacific Ocean,,,Japan,,,,"Iriomote, Naka No Uganjima",24.19,123.57,,,,,,,30.00,,,,,,Original Number : OK0949KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/35711c1d4-a8c1-4049-9c29-af1174df2646
USNM 75524,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,"Muzik, K.",7/17/89,,North Pacific Ocean,,,Japan,,,,"Iriomote, Sakiyama",24.3167,123.675,,,,,,,40.00,,,,,,Original Number : OK0961KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3015285bb-f000-4513-a2a0-ae2fff9584de
USNM 75553,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,"Muzik, K.",7/19/89,,North Pacific Ocean,,,Japan,,,,"Iriomote, Sakiyama",24.3167,123.675,,,,,,,37.00,,,,,,Original Number : OK0976KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3304943d1-72b7-4c7d-b1c8-f5a74694ff93
USNM 75554,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,"Muzik, K.",7/21/89,,North Pacific Ocean,,,Japan,,,,"Iriomote, Yonara Suido",24.37,123.95,,,,,,,21.00,,,,,,Original Number : OK0984KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3819f69e6-f85b-4002-9f43-eabf58ab698a
USNM 75560,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,"Muzik, K.",7/21/89,,North Pacific Ocean,,,Japan,,,,"Iriomote, Yonara Suido",24.37,123.95,,,,,,,25.00,,,,,,Original Number : OK0987KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3a68f4565-e8b3-40b3-b896-7af471bb7701
USNM 75574,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",7/6/85,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Iejima",26.73,127.75,,,,,,,,,,,,,Original Number : OK0013KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/371de60ef-cfb4-443d-852f-64c614eb9b61
USNM 75729,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",7/6/85,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Iejima",26.73,127.75,,,,,,,30.00,,,,,,Original Number : OK0016KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/345731f8f-bb2c-46f5-9e5e-6c8e00b8578e
USNM 75731,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",7/6/85,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Iejima",26.73,127.75,,,,,,,30.00,,,,,,Original Number : OK0018KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3b6334825-8d7c-4ce0-a563-9dd3adce5c1d
USNM 75734,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",7/6/85,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Iejima",26.73,127.75,,,,,,,30.00,,,,,,Original Number : OK0022KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3fc97ea7f-1300-4be0-8a8d-4ca7f026d1fe
USNM 75758,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",7/13/85,,North Pacific Ocean,,,Japan,,,,Yuronjima,27.0583,128.42,,,,,,,43.00,,,,,,Original Number : OK0060KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/31c275601-57fa-4a26-9e8a-49313f0a99d6
USNM 75759,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",7/13/85,,North Pacific Ocean,,,Japan,,,,Yuronjima,27.0583,128.42,,,,,,,40.00,,,,,,Original Number : OK0061KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3e7bd80a3-6839-46ef-a38f-f435068a52a3
USNM 75760,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,2 ca.,,Dry,,"Muzik, K.",7/13/85,,North Pacific Ocean,,,Japan,,,,Yuronjima,27.0583,128.42,,,,,,,35.00,,,,,,Original Number : OK0062KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/314057121-8db6-400a-b5f1-fdf96b7a83ee
USNM 75761,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,2 ca.,,Dry,,"Muzik, K.",7/13/85,,North Pacific Ocean,,,Japan,,,,Yuronjima,27.0583,128.42,,,,,,,43.00,,,,,,Original Number : OK0063KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3251acd00-4b1c-43ac-aead-3db1ed74449a
USNM 75763,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",7/13/85,,North Pacific Ocean,,,Japan,,,,Yuronjima,27.0583,128.42,,,,,,,41.00,,,,,,Original Number : OK0065KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3351a549a-cbf2-4ce4-a236-752015b24fa1
USNM 75780,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",8/1/85,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Sesoko Island, Tamura Point",26.6292,127.858,,,,,,,3.00,,,,,,Original Number : OK0094KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/30ed809d2-156d-4dc4-b96f-b0387560fa08
USNM 75781,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",8/1/85,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Sesoko Island",26.6292,127.858,,,,,,,25.00,,,,,,Original Number : OK0095KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3ea3d49dd-75ae-4e32-9562-3f1deae53596
USNM 75782,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",8/1/85,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Sesoko Island",26.6292,127.858,,,,,,,20.00,,,,,,Original Number : OK0096KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/30af2019d-f48a-43eb-9968-df2fab96a125
USNM 75799,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",8/14/85,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Onna Island",26.4917,127.82,,,,,,,25.00,,,,,,Original Number : OK0121KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/32ec9a562-361d-4abd-af15-4fe358e69db8
