´ŽèCatalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),GenBank Numbers,Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNM 1077458,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,,,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),18,,3/22/67,,Indian Ocean,Andaman Sea,,Thailand,,,,"Phuket Island, West Of",7.57,98,,IIOE,Te Vega R/V,1,,,77.00,,,,,,,260812,,,,,,,,1/15/17 18:14,http://n2t.net/ark:/65665/3a0208884-df54-4794-83bc-e826187036af
USNM 1077813,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"van Ofwegen, Leen P.",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),NOT REC.,,5/18/09,,Indian Ocean,,,,,,,,,,,IIOE,Anton Bruun R/V,,,,,,,,,,,260812,,,,,,,,1/15/17 18:14,http://n2t.net/ark:/65665/3e1f0c75c-035c-45fe-8870-984c2f2bb595
USNM 1078825,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"van Ofwegen, Leen P.",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),18,,3/22/67,,Indian Ocean,Andaman Sea,,Thailand,,,,"Phuket Island, West Of",7.57,98,,IIOE,Te Vega R/V,1,,,77.00,,,,,,,260812,,,,,,,,1/15/17 18:14,http://n2t.net/ark:/65665/372541bf0-81e7-4e34-aa47-05964ffad051
USNM 1089996,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,422,"Power, A.",,,South Pacific Ocean,Coral Sea,,Vanuatu,,,,Espiritu Santo Island,-15.25,166.83,,,,,,,24.00,,,,,,,335864,,,,,,,,1/15/17 18:14,http://n2t.net/ark:/65665/362c01170-ade5-4a5b-8d16-50dff461a561
USNM 1091377,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Coffer, Timothy E., Smithsonian Institution, National Museum of Natural History",19-Jul-10,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),,"Forhan, T.",8/22/79,,North Pacific Ocean,,,Philippines,Bohol,,,Bohol Island,10.2983,124.182,,,Alpha Helix R/V,,,,30.00,,,,F12,,,412580,,,,,,,,1/15/17 18:14,http://n2t.net/ark:/65665/3f94e2d1b-7ca0-47c1-8df4-1d4ab1921cd5
USNM 1091378,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Coffer, Timothy E., Smithsonian Institution, National Museum of Natural History",19-Jul-10,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),1928,"Humes, A. G.",5/24/79,,South Pacific Ocean,,,Indonesia,Moluccas,,,"Ceram Island, Parang Island",-3.2833,130.747,,,Alpha Helix R/V,,,,10.00,,,,Humes 1928,,,412580,,,,,,,,1/15/17 18:14,http://n2t.net/ark:/65665/366bc73e5-da83-49b6-86d9-13d373bcaee3
USNM 1091379,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"van Ofwegen, Leen P.",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),,"Forhan, T.",9/23/79,,North Pacific Ocean,,,Philippines,Bohol,,,Bohol Island,10.2983,124.182,,,,,,,40.00,,,,F7,,,412580,,,,,,,,1/15/17 18:14,http://n2t.net/ark:/65665/3e994b834-9efc-46ac-9016-344893bfe148
USNM 1091380,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"van Ofwegen, Leen P.",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,1922,"Humes, A. G.",5/24/79,,South Pacific Ocean,,,Indonesia,Moluccas,,,"Ceram Island, Parang Island",-3.2833,130.747,,,Alpha Helix R/V,,,,10.00,,,,Humes 1922,,,412580,,,,,,,,1/15/17 18:14,http://n2t.net/ark:/65665/3224165e0-5f07-4750-9682-80c1d5e0357c
USNM 1104702,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"van Ofwegen, Leen P.",30-Jan-86,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,3,,Alcohol (Ethanol),400C,,10/4/68,,Indian Ocean,,,Mozambique,,,,"Beira, 50 Mile SE",-20.5,35.72,,IIOE - International Indian Ocean Expedition,Anton Bruun R/V,8,,,62.00,,,,,,,412580,,,,,,,,1/15/17 18:14,http://n2t.net/ark:/65665/39afd2df6-0941-437f-93c6-521c64078caa
USNM 1156204,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Slack-Smith, S. M.; Marsh, L.",12/3/83,Trawl - Otter,Indian Ocean,,,Australia,Western Australia,,,"Monte Bello Island, north northeast of Island",-19.75,116.017,,,,,,large sponges and soft coral,100.00,,,,408-80,,,347966,,,,,,,,1/15/17 18:14,http://n2t.net/ark:/65665/393893501-dc71-4349-b26b-2327e6828c9c
USNM 1192966,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Rowley, Sonia, University of Hawaii at Manoa (UNITED STATES)",15-Sep-16,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Muzik, K.",10/4/86,,North Pacific Ocean,East China Sea,,Japan,Okinawa,,,Adakasima,,,,,,,,,,,,,,,,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/38529e9c8-6615-4ced-8a56-b99a8b38214a
USNM 1197835,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",1985,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,Keroeides sp.,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Chen, C. C.",,,North Pacific Ocean,,,Taiwan,,,,Off southern coast,,,,,,,,,,,,,,,specimen number : 10,366454,,,,,,,,1/23/17 19:08,http://n2t.net/ark:/65665/31ce2ceef-1c99-4e31-8c91-36f60b5774f5
USNM 1198183,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Chen, C. C.",1985,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Chen, C. C.",,,North Pacific Ocean,,,Taiwan,,,,Off southern coast,,,,,,,,,14.00,,,"Color: Polyp is red, coenchyme is purple.",,,specimen number : A22,366454,,,,,,,,1/29/17 16:56,http://n2t.net/ark:/65665/35438b8a5-bf15-4946-a4a0-8da6ea089acb
USNM 1211243,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),,"Tokioka, T.",,,South Pacific Ocean,Arafura Sea,,Australia,,,,"Melville, reef",,,,,,,,,,,,,2-Oct,,,200676,,,,,,,,9/29/19 13:15,http://n2t.net/ark:/65665/39fe7a997-a79b-455a-901b-cd4a67418523
USNM 1211245,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 LOT,,Alcohol (Ethanol),,"Tokioka, T.",5/9/09,,South Pacific Ocean,Arafura Sea,,Australia,,,,,,,,,,,,,,,,,1,,,,,,,,,,,9/29/19 13:15,http://n2t.net/ark:/65665/3e0f5feae-0936-441d-99bb-a39c3e633466
USNM 1211246,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Tokioka, T.",5/8/09,,South Pacific Ocean,Arafura Sea,,Australia,,,,,,,,,,,,,,,,,4,,,,,,,,,,,9/29/19 13:15,http://n2t.net/ark:/65665/37b0cb5c8-59cc-4cff-aada-f9d01968f04e
USNM 1211247,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Tokioka, T.",5/7/09,,South Pacific Ocean,Arafura Sea,,Australia,,,,,,,,,,,,,,,,,1,,,,,,,,,,,9/29/19 13:15,http://n2t.net/ark:/65665/33db0513f-9c4b-440c-9e2b-1c2b410c0ee9
USNM 1224176,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,,,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Muzik, K.",5/26/09,,South Pacific Ocean,,,Fiji,,,,Viti Levu,,,,,,,,,,,,,,,,,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/365bf7cd8-e093-4bc5-811b-067f3fb7b2df
USNM 1224177,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,,,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,WF-22,"Muzik, K.",6/2/76,,South Pacific Ocean,,,Fiji,,,,"Viti Levu Island, channeled ocean reef, N Nananu-I-Ra Island",-17.3,178.22,,,,,,,9.00,,,,,,,,,,,,,,,10/1/20 15:17,http://n2t.net/ark:/65665/34425158e-3fdd-4647-8e5a-60d714b362ca
USNM 1224212,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,,,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,WF 26,"Muzik, K.",8/3/72,,South Pacific Ocean,,,Fiji,,,,"Viti Levu Island, Embayment reef east shore Nananu-I-Ra",-17.3,178.22,,,,,,,3.00,,,,,,,,,,,,,,,10/1/20 15:17,http://n2t.net/ark:/65665/363eb3bdf-82fe-4021-95d2-17b24b9fbe5f
USNM 1224274,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,,,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,WF-28,"Vosburgh, F.",6/2/76,,South Pacific Ocean,,,Fiji,,,,"Nananu-I-Ra Island, ocean reef, off Viti Levu Island",-17.3,178.22,,,,,,,7.00,,,,,,,,,,,,,,,10/1/20 15:17,http://n2t.net/ark:/65665/31c1ca19f-be72-4075-9e86-e68734868cf5
USNM 1224280,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,,,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,30 BU,"Muzik, K.",8/2/76,,South Pacific Ocean,,,Fiji,,,,"Viti Levu, Cakau Bu, ocean reef N of Nananu-I-Ra",-17.3,178.22,,,,,,,11.00,,,"Collectors notes: ""caliculars distinctly en chevron Muricella?""",,,,,,,,,,,,10/1/20 15:17,http://n2t.net/ark:/65665/3e440a8c3-7993-415c-b71d-5ce76e1c83c0
USNM 1224281,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,,,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,WF 43,"Muzik, K.",8/3/72,,South Pacific Ocean,,,Fiji,,,,"Viti Levu Island, Ocean Reef North Of Nananu-I-Ra",-17.3,178.22,,,,,,,9.00,,,,,,,,,,,,,,,10/1/20 15:17,http://n2t.net/ark:/65665/3711816ef-801b-4897-ab8d-06d764db909a
USNM 1224282,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,,,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,WF 47,"Muzik, K.",6/2/76,,South Pacific Ocean,,,Fiji,,,,"Viti Levu, Cakau Levu Island, East of Nananu-I-Cake, plane _|_ to current",-17.3,178.22,,,,,,,11.00,,,"collector's note: ""Plane _|_ to current""",,,,,,,,,,,,10/1/20 15:17,http://n2t.net/ark:/65665/3ada74906-0ea7-481f-b5d6-15ac7db7732d
USNM 1224283,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,,,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,WF 48,"Muzik, K.",6/2/76,,South Pacific Ocean,,,Fiji,,,,"Viti Levu, Cakau Levu Island, E face, East of Nananu-I-Cake, plane oriented _|_ to current.",-17.3,178.22,,,,,,,9.00,,,"collector's notes: ""plane oriented _|_ to current.""",,,,,,,,,,,,10/1/20 15:17,http://n2t.net/ark:/65665/32a444be3-9f7b-4cad-ad03-de2769444db7
USNM 1224284,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,,,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,WF 49,"Muzik, K.",8/3/72,,South Pacific Ocean,,,Fiji,,,,"Viti Levu, Cakau Levu Island, E face, East of Nananu-I-Cake.",-17.3,178.22,,,,,,,11.00,,,Calicilars insonsistent some in beautiful chevrons some irregular,,,,,,,,,,,,10/1/20 15:17,http://n2t.net/ark:/65665/31ddc7398-2085-486a-aa4c-d92d6528b27a
USNM 1232746,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Coffer, Timothy E., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,RFB 0975,"Bolland, R. F.",11/27/85,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.5,127.848,,,,,,,79.00,,,,BOLLAND/RFB 0975,,,,,,,,,,,3/21/18 15:38,http://n2t.net/ark:/65665/3bf1f6e0f-ddc2-4f59-aab3-59b643df101a
USNM 1232747,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Coffer, Timothy E., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,RFB 0975,"Bolland, R. F.",11/27/85,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.5,127.848,,,,,,,79.00,,,,BOLLAND/RFB 0975,,,,,,,,,,,3/21/18 15:38,http://n2t.net/ark:/65665/34a8f2daa-af78-4118-bbdb-678adfb6f96d
USNM 1232748,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Coffer, Timothy E., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,RFB 0975,"Bolland, R. F.",11/27/85,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.5,127.848,,,,,,,79.00,,,,BOLLAND/RFB 0975,,,,,,,,,,,3/21/18 15:38,http://n2t.net/ark:/65665/34a9db7d4-d6c6-4553-84d8-a3e579cfb3c3
USNM 1232749,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Coffer, Timothy E., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,RFB 0975,"Bolland, R. F.",11/27/85,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.5,127.848,,,,,,,79.00,,,,BOLLAND/RFB 0975,,,,,,,,,,,3/21/18 15:38,http://n2t.net/ark:/65665/32c2690db-7faf-41f1-8d1d-03404ddf4ee6
USNM 1232750,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Coffer, Timothy E., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,RFB 0969,"Bolland, R. F.",11/22/85,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.5,127.848,,,,,,,79.00,,,,BOLLAND/RFB 0969,,,,,,,,,,,3/21/18 15:38,http://n2t.net/ark:/65665/37740104c-43f7-4fd3-aa0f-7078eda2dd9e
USNM 1232751,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Coffer, Timothy E., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,RFB 0981,"Bolland, R. F.",12/12/85,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.5,127.848,,,,,,,79.00,,,,BOLLAND/RFB 0981,,,,,,,,,,,3/21/18 15:38,http://n2t.net/ark:/65665/3366bab6f-2f46-48b2-ab61-11bf034a2eb3
USNM 1232752,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Coffer, Timothy E., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,RFB 0976,"Bolland, R. F.",11/27/85,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.5,127.848,,,,,,,61.00,,,,BOLLAND/RFB 0976,,,,,,,,,,,3/21/18 15:38,http://n2t.net/ark:/65665/36f6da423-1a9a-4f5e-80c5-a586eb673887
USNM 1232753,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Coffer, Timothy E., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,RFB 0979,"Bolland, R. F.",12/6/85,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.5,127.848,,,,,,,61.00,,,,BOLLAND/RFB 0979,,,,,,,,,,,3/21/18 15:38,http://n2t.net/ark:/65665/3d0b5fd89-013a-4732-85ab-3d1c563f0177
USNM 1232754,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Coffer, Timothy E., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,2,,Dry,RFB 0965,"Bolland, R. F.",11/14/85,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.5,127.848,,,,,,,73.00,,,,BOLLAND/RFB 0965,,,,,,,,,,,3/21/18 15:38,http://n2t.net/ark:/65665/3ea76cafd-91e0-4458-8739-2db87310d929
USNM 1232755,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Coffer, Timothy E., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,RFB 0985,"Bolland, R. F.",12/24/85,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.6,127.848,,,,,,,46.00,,,,BOLLAND/RFB 0985,,,,,,,,,,,3/21/18 15:38,http://n2t.net/ark:/65665/306661e87-63b2-4ee3-a139-759bed5dd2e5
USNM 1232757,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Coffer, Timothy E., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,RFB 0983,"Bolland, R. F.",12/12/85,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.5,127.848,,,,,,,52.00,,,,BOLLAND/RFB 0983,,,,,,,,,,,3/21/18 15:38,http://n2t.net/ark:/65665/3034a9497-28d5-4224-a1fd-9ebbb13d79d9
USNM 1232758,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Coffer, Timothy E., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,RFB 0984,"Bolland, R. F.",12/24/85,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.5,127.848,,,,,,,67.00,,,,BOLLAND/RFB 0984,,,346879,,,,,,,,3/21/18 15:38,http://n2t.net/ark:/65665/3ab07405d-4715-471e-90a6-739f314ccc10
